Document ID,Document,Error
1,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Imagine_Dragons_Im_So_Sorry.txt"")",java.util.concurrent.ExecutionException: java.lang.StackOverflowError Expecting value: line 1 column 1 (char 0)
2,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Peter_Gabriel_The_Story_Of_Ovo.txt"")",java.util.concurrent.ExecutionException: java.lang.StackOverflowError Expecting value: line 1 column 1 (char 0)
