Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
21,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Leabing_Song_Part_II.txt"")",1.8644628524780273,1426,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
22,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Memory_Lane.txt"")",4.81253719329834,4629,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
23,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_The_Beating_Of_A_High_School_Bus_Driver.txt"")",0.6719160079956055,419,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
24,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Three_Cheers_For_Ottawa_(Go_Leafs_Go).txt"")",0.7500040531158447,1423,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
25,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_First_Love.txt"")",1.3281681537628174,891,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
26,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_I_Found_A_Boy.txt"")",2.46874737739563,1282,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
27,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_I_Miss_You.txt"")",2.015625476837158,2207,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
28,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_Lay_Me_Down.txt"")",1.3437581062316895,1551,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
29,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_Take_It_All.txt"")",1.2332708835601807,1189,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
30,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adele_Think_That_I_Get_Told_The_Court.txt"")",3.484884023666382,3517,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
