Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
36,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Hollywood.txt"")",3.359332799911499,1769,coref,1
37,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Just_Push_Play.txt"")",2.562493324279785,1344,coref,1
38,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Milkcow_Blues.txt"")",0.7969038486480713,699,coref,1
39,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Monkey_On_My_Back.txt"")",1.2187120914459229,769,coref,1
40,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Prelude_To_Joanie.txt"")",0.7499566078186035,577,coref,1
41,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Push_Comes_To_Shove.txt"")",2.390619993209839,1442,coref,1
42,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Red_House.txt"")",1.0312566757202148,700,coref,1
43,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Same_Old_Song_And_Dance.txt"")",1.778059959411621,1186,coref,1
44,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Sight_For_Sore_Eyes.txt"")",1.5468404293060303,990,coref,1
45,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Somebody.txt"")",1.359360694885254,745,coref,1
46,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_St._John.txt"")",3.6874635219573975,2003,coref,1
47,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Sunshine.txt"")",2.43235445022583,1207,coref,1
48,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_The_Farm.txt"")",2.8125061988830566,1837,coref,1
49,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_The_Grind.txt"")",2.5780560970306396,1266,coref,1
50,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_The_Reason_A_Dog.txt"")",2.062469959259033,1266,coref,1
51,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aerosmith_Title_Fly_Away_From_Here.txt"")",2.140603542327881,1502,coref,1
52,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Big_Cat.txt"")",1.6904678344726562,1007,coref,1
53,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Dont_Be_Afraid.txt"")",0.4062201976776123,496,coref,1
54,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Evidence_Of_Love.txt"")",1.359388828277588,968,coref,1
55,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_I_Can_Wait_Forever.txt"")",2.296869993209839,1307,coref,1
56,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_I_Cant_Get_Excited.txt"")",3.625011444091797,1781,coref,1
57,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_I_Wanna_Hold_You_Tonight.txt"")",2.2812631130218506,1394,coref,1
58,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_I_Want_To_Give_It_All.txt"")",1.0468683242797852,740,coref,1
59,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_If_You_Love_Me.txt"")",3.062438726425171,1207,coref,1
60,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Im_Alive.txt"")",1.5312607288360596,883,coref,1
61,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Its_Never_Too_Late.txt"")",1.598219871520996,950,coref,1
62,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Its_Not_Easy.txt"")",1.2943761348724365,869,coref,1
63,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Its_Not_Too_Late.txt"")",1.6094081401824951,1176,coref,1
64,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Just_Between_The_Lines.txt"")",1.0759773254394531,767,coref,1
65,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_News_From_Nowhere.txt"")",1.7030794620513916,1164,coref,1
66,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Now_And_Forever.txt"")",0.9999425411224365,802,coref,1
67,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Shadow_Of_The_Sun.txt"")",2.2968502044677734,1199,coref,1
68,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Stronger_Than_The_Night.txt"")",1.281235933303833,936,coref,1
69,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Thats_How_The_Whole_Thing_Started.txt"")",0.9842944145202637,812,coref,1
70,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Two_Less_Lonely_People_In_The_World.txt"")",2.3788580894470215,1487,coref,1
71,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Air_Supply_Winter_Wonderland.txt"")",1.2186791896820068,954,coref,1
72,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aiza_Seguerra_Home.txt"")",2.2968084812164307,1303,coref,1
73,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aiza_Seguerra_One_And_Only_You.txt"")",1.128629207611084,675,coref,1
74,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aiza_Seguerra_Put_A_Little_Love_In_Your_Heart.txt"")",3.410799503326416,1618,coref,1
75,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Aiza_Seguerra_Sorry.txt"")",1.7500066757202148,1125,coref,1
76,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_A_Candle_In_The_Window.txt"")",1.920048713684082,1037,coref,1
77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Christmas_In_Dixie.txt"")",1.015620231628418,704,coref,1
78,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Country_Side_Of_Life.txt"")",3.84383487701416,1700,coref,1
79,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Gonna_Have_A_Party.txt"")",1.5182287693023682,748,coref,1
80,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Hanging_Up_My_Travelin_Shoes.txt"")",1.6354846954345703,826,coref,1
81,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Hey_Baby.txt"")",1.7771663665771484,848,coref,1
82,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_I_Wanna_Come_Over.txt"")",1.9218668937683105,1209,coref,1
83,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_I_Want_To_Be_With_You_Tonight.txt"")",2.624969244003296,1199,coref,1
84,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Is_The_Magic_Still_There.txt"")",2.2812581062316895,1279,coref,1
85,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Louisiana_Moon.txt"")",2.1469271183013916,1197,coref,1
86,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_Mountain_Music.txt"")",1.7435986995697021,1137,coref,1
87,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Alabama_My_Girl.txt"")",1.5613577365875244,772,coref,1
